NAME,year,category,category_count,total_count,proportion
West Indian Ocean,1999,medium,14648,191049,0.07667142984260582
West Indian Ocean,2000,high,25194,191049,0.13187192814408868
West Indian Ocean,2000,low,147099,191049,0.7699543049165397
West Indian Ocean,2000,medium,18756,191049,0.09817376693937158
West Indian Ocean,2001,high,22694,191049,0.11878627995959151
West Indian Ocean,2001,low,147511,191049,0.7721108197373449
West Indian Ocean,2001,medium,20844,191049,0.10910290030306362
West Indian Ocean,2022,high,30300,191049,0.1585980559961057
West Indian Ocean,2022,low,143887,191049,0.7531418641290978
West Indian Ocean,2022,medium,16862,191049,0.08826007987479652
West Indian Ocean,2023,high,29601,191049,0.1549393087637203
West Indian Ocean,2023,low,145077,191049,0.7593706326649184
West Indian Ocean,2023,medium,16371,191049,0.08569005857136128
West Indian Ocean,2024,high,31026,191049,0.1623981282288837
West Indian Ocean,2024,low,143932,191049,0.7533774057964188
West Indian Ocean,2024,medium,16091,191049,0.08422446597469758
West North America [WNA:3],1999,high,4795388,82574698,0.058073333795298894
West North America [WNA:3],1999,low,53222900,82574698,0.644542472320032
West North America [WNA:3],1999,medium,24556410,82574698,0.29738419388466913
West North America [WNA:3],2000,high,4561003,82574698,0.0552348735202156
West North America [WNA:3],2000,low,53748634,82574698,0.6509092409880809
West North America [WNA:3],2000,medium,24265061,82574698,0.29385588549170355
West North America [WNA:3],2001,high,4163926,82574698,0.0504261729180045
West North America [WNA:3],2001,low,54398148,82574698,0.658775016046683
West North America [WNA:3],2001,medium,24012624,82574698,0.2907988110353125
West North America [WNA:3],2022,high,5066443,82574698,0.06135587683287682
West North America [WNA:3],2022,low,51520624,82574698,0.6239274892655375
West North America [WNA:3],2022,medium,25987631,82574698,0.31471663390158566
West North America [WNA:3],2023,high,4949079,82574698,0.05993456978795127
West North America [WNA:3],2023,low,51035526,82574698,0.6180528326001264
West North America [WNA:3],2023,medium,26590093,82574698,0.32201259761192225
West North America [WNA:3],2024,high,4805842,82574698,0.05819993431886363
West North America [WNA:3],2024,low,51753977,82574698,0.626753451765576
West North America [WNA:3],2024,medium,26014879,82574698,0.31504661391556044
small islands regions Caribbean,1999,high,411322,3321725,0.12382783041943568
small islands regions Caribbean,1999,low,1439782,3321725,0.43344406897018867
small islands regions Caribbean,1999,medium,1470621,3321725,0.44272810061037565
small islands regions Caribbean,2000,high,434726,3321725,0.13087356719776622
small islands regions Caribbean,2000,low,1417914,3321725,0.4268607425358812
small islands regions Caribbean,2000,medium,1469085,3321725,0.4422656902663526
small islands regions Caribbean,2001,high,458148,3321725,0.13792472284731577
small islands regions Caribbean,2001,low,1380509,3321725,0.4156000270943561
small islands regions Caribbean,2001,medium,1483068,3321725,0.4464752500583281
small islands regions Caribbean,2022,high,442635,3321725,0.1332545590017235
small islands regions Caribbean,2022,low,1537329,3321725,0.46281043734806465
small islands regions Caribbean,2022,medium,1341761,3321725,0.40393500365021184
small islands regions Caribbean,2023,high,451550,3321725,0.1359384054971438
small islands regions Caribbean,2023,low,1505789,3321725,0.45331537077873696
small islands regions Caribbean,2023,medium,1364386,3321725,0.41074622372411923
small islands regions Caribbean,2024,high,437160,3321725,0.13160631900593817
small islands regions Caribbean,2024,low,1529072,3321725,0.4603246807005396
small islands regions Caribbean,2024,medium,1355493,3321725,0.40806900029352217
