value,count,year
18,689543,2017
19,737486,2017
20,792042,2017
21,857981,2017
22,941634,2017
23,1064507,2017
24,1242411,2017
25,1451552,2017
26,1633129,2017
27,1755665,2017
28,1817227,2017
29,1825842,2017
30,1796215,2017
31,1735906,2017
32,1652755,2017
33,1548625,2017
34,1427338,2017
35,1309421,2017
36,1202703,2017
37,1094254,2017
38,981821,2017
39,870089,2017
40,771927,2017
41,684096,2017
42,606781,2017
43,536969,2017
44,476962,2017
45,425227,2017
46,378373,2017
47,340385,2017
48,309412,2017
49,287079,2017
50,265793,2017
51,243903,2017
52,223748,2017
53,204382,2017
54,185580,2017
55,166427,2017
56,151866,2017
57,140265,2017
58,131015,2017
59,122205,2017
60,115297,2017
61,108430,2017
62,102363,2017
63,96720,2017
64,91716,2017
65,88274,2017
66,84100,2017
67,81303,2017
68,79242,2017
69,78047,2017
70,77732,2017
71,77180,2017
72,77765,2017
73,78333,2017
74,77934,2017
75,77328,2017
76,77143,2017
77,75192,2017
78,72544,2017
79,67617,2017
80,62922,2017
81,55979,2017
82,47964,2017
83,39161,2017
84,30587,2017
85,22071,2017
86,14730,2017
87,8892,2017
88,4893,2017
89,2295,2017
90,828,2017
91,225,2017
92,29,2017
93,2,2017
0,833468,2018
1,356498,2018
2,230047,2018
3,310989,2018
4,701458,2018
5,1257695,2018
6,1481364,2018
7,1385975,2018
8,1194358,2018
9,1021145,2018
10,882968,2018
11,782154,2018
12,711179,2018
13,660713,2018
14,632419,2018
15,619289,2018
16,625358,2018
17,646156,2018
18,679484,2018
19,727419,2018
20,784180,2018
21,849765,2018
22,938165,2018
23,1059505,2018
24,1227630,2018
25,1422917,2018
26,1598259,2018
27,1715166,2018
28,1777407,2018
29,1789332,2018
30,1767971,2018
31,1718396,2018
32,1644977,2018
33,1548309,2018
34,1436980,2018
35,1329086,2018
36,1223336,2018
37,1121960,2018
38,1012296,2018
39,902885,2018
40,804433,2018
41,714877,2018
42,634950,2018
43,563147,2018
44,502523,2018
45,448660,2018
46,399437,2018
47,356571,2018
48,326119,2018
49,303308,2018
50,280357,2018
51,256753,2018
52,235247,2018
53,213931,2018
54,192941,2018
55,173617,2018
56,158008,2018
57,144947,2018
58,134560,2018
59,125601,2018
60,118534,2018
61,111344,2018
62,104760,2018
63,98886,2018
64,94301,2018
65,88975,2018
66,85231,2018
67,83490,2018
68,81404,2018
69,80144,2018
70,79613,2018
71,79451,2018
72,80253,2018
73,80811,2018
74,80973,2018
75,80685,2018
76,79913,2018
77,78225,2018
78,75098,2018
79,71177,2018
80,65229,2018
81,57664,2018
82,49035,2018
83,39574,2018
84,30620,2018
85,22464,2018
86,14746,2018
87,8796,2018
88,4778,2018
89,2205,2018
90,848,2018
91,267,2018
92,39,2018
93,2,2018
0,819296,2019
1,338297,2019
2,240142,2019
3,365674,2019
4,841284,2019
5,1379792,2019
6,1532496,2019
7,1382175,2019
8,1176090,2019
9,1007236,2019
10,880472,2019
11,789552,2019
12,724488,2019
13,679495,2019
14,651447,2019
15,642298,2019
16,648653,2019
17,668338,2019
18,698291,2019
19,739751,2019
20,783707,2019
21,835545,2019
22,902608,2019
23,994995,2019
24,1137844,2019
25,1313386,2019
26,1479711,2019
27,1597796,2019
28,1669268,2019
29,1694591,2019
30,1684792,2019
31,1655143,2019
32,1598299,2019
33,1519253,2019
34,1424968,2019
35,1324751,2019
36,1235199,2019
37,1142031,2019
38,1037511,2019
39,933984,2019
40,834918,2019
41,747949,2019
42,669483,2019
43,597392,2019
44,533749,2019
45,478145,2019
46,428070,2019
47,384761,2019
48,350920,2019
49,326361,2019
50,301136,2019
51,274453,2019
52,250697,2019
53,228148,2019
54,204722,2019
55,183174,2019
56,166447,2019
57,152619,2019
58,142360,2019
59,132859,2019
60,124272,2019
61,116530,2019
62,109664,2019
63,102796,2019
64,97636,2019
65,92416,2019
66,88394,2019
67,84983,2019
68,83153,2019
69,81662,2019
70,80603,2019
71,80398,2019
72,80354,2019
73,79962,2019
74,80357,2019
75,79363,2019
76,79193,2019
77,76926,2019
78,73565,2019
79,69272,2019
80,63133,2019
81,55966,2019
82,47499,2019
83,38668,2019
84,29565,2019
85,21723,2019
86,14440,2019
87,8690,2019
88,4649,2019
89,2256,2019
90,812,2019
91,229,2019
92,37,2019
93,2,2019
0,836225,2020
1,364618,2020
2,266785,2020
3,386907,2020
4,826499,2020
5,1327617,2020
6,1474129,2020
7,1354135,2020
8,1165295,2020
9,999525,2020
10,874049,2020
11,782119,2020
12,710916,2020
13,664125,2020
14,638440,2020
15,626907,2020
16,633106,2020
17,653240,2020
18,686173,2020
19,730103,2020
20,781289,2020
21,842481,2020
22,921538,2020
23,1038334,2020
24,1206038,2020
25,1404271,2020
26,1580416,2020
27,1699638,2020
28,1763980,2020
29,1778387,2020
30,1760944,2020
31,1714496,2020
32,1642765,2020
33,1545192,2020
34,1431978,2020
35,1323723,2020
36,1221520,2020
37,1116774,2020
38,1005992,2020
39,895198,2020
40,797271,2020
41,706488,2020
42,627763,2020
43,557051,2020
44,495321,2020
45,441499,2020
46,393752,2020
47,353490,2020
48,321991,2020
49,298294,2020
50,276188,2020
51,253310,2020
52,232113,2020
53,212010,2020
54,191153,2020
55,171924,2020
56,157139,2020
57,144066,2020
58,133910,2020
59,126712,2020
60,119136,2020
61,112016,2020
62,105593,2020
63,100871,2020
64,95451,2020
65,90622,2020
66,87368,2020
67,84437,2020
68,82374,2020
69,81781,2020
70,80761,2020
71,81423,2020
72,80971,2020
73,81576,2020
74,81721,2020
75,80855,2020
76,80377,2020
77,78209,2020
78,74691,2020
79,69964,2020
80,64048,2020
81,56405,2020
82,48212,2020
83,39282,2020
84,29966,2020
85,21669,2020
86,14267,2020
87,8801,2020
88,4723,2020
89,2186,2020
90,827,2020
91,256,2020
92,28,2020
93,1,2020
0,963109,2021
1,382078,2021
2,255119,2021
3,366664,2021
4,832504,2021
5,1335637,2021
6,1476061,2021
7,1354112,2021
8,1174431,2021
9,1018634,2021
10,894976,2021
11,802593,2021
12,732223,2021
13,681957,2021
14,651828,2021
15,635820,2021
16,635814,2021
17,646023,2021
18,673147,2021
19,709957,2021
20,754436,2021
21,809983,2021
22,881037,2021
23,977912,2021
24,1116699,2021
25,1288963,2021
26,1456751,2021
27,1583477,2021
28,1659235,2021
29,1688013,2021
30,1680199,2021
31,1646275,2021
32,1586130,2021
33,1503180,2021
34,1405113,2021
35,1307569,2021
36,1214887,2021
37,1126073,2021
38,1027505,2021
39,925528,2021
40,831912,2021
41,746412,2021
42,671030,2021
43,601639,2021
44,539233,2021
45,484103,2021
46,434388,2021
47,391894,2021
48,357629,2021
49,331532,2021
50,309047,2021
51,282148,2021
52,257865,2021
53,235304,2021
54,212181,2021
55,190034,2021
56,172305,2021
57,157863,2021
58,146938,2021
59,136987,2021
60,128720,2021
61,120694,2021
62,113081,2021
63,105394,2021
64,99848,2021
65,94418,2021
66,90729,2021
67,87246,2021
68,85173,2021
69,83513,2021
70,84019,2021
71,83694,2021
72,84364,2021
73,84925,2021
74,86482,2021
75,88054,2021
76,88394,2021
77,89021,2021
78,88208,2021
79,85547,2021
80,79767,2021
81,72811,2021
82,63276,2021
83,52310,2021
84,41689,2021
85,30505,2021
86,20452,2021
87,12347,2021
88,6761,2021
89,3072,2021
90,1185,2021
91,324,2021
92,55,2021
93,6,2021
0,969397,2022
1,397421,2022
2,260291,2022
3,338469,2022
4,716343,2022
5,1191074,2022
6,1336647,2022
7,1221653,2022
8,1043084,2022
9,891852,2022
10,776540,2022
11,692471,2022
12,631544,2022
13,594451,2022
14,570845,2022
15,560169,2022
16,565284,2022
17,583614,2022
18,612363,2022
19,648943,2022
20,694530,2022
21,751269,2022
22,829315,2022
23,938703,2022
24,1099732,2022
25,1293258,2022
26,1479320,2022
27,1626188,2022
28,1720022,2022
29,1770344,2022
30,1784578,2022
31,1764047,2022
32,1717206,2022
33,1640580,2022
34,1541725,2022
35,1442394,2022
36,1346277,2022
37,1246556,2022
38,1129913,2022
39,1016063,2022
40,910165,2022
41,810234,2022
42,723906,2022
43,643906,2022
44,573456,2022
45,512045,2022
46,455806,2022
47,407399,2022
48,369731,2022
49,343489,2022
50,316735,2022
51,288390,2022
52,263740,2022
53,239642,2022
54,216255,2022
55,192692,2022
56,174526,2022
57,160379,2022
58,149430,2022
59,138903,2022
60,130345,2022
61,122151,2022
62,114937,2022
63,108104,2022
64,102546,2022
65,97454,2022
66,92721,2022
67,90454,2022
68,87981,2022
69,86766,2022
70,86879,2022
71,87302,2022
72,87759,2022
73,89163,2022
74,90571,2022
75,91612,2022
76,91932,2022
77,91479,2022
78,89195,2022
79,84983,2022
80,78389,2022
81,70426,2022
82,59822,2022
83,48520,2022
84,36836,2022
85,26663,2022
86,17621,2022
87,10645,2022
88,5723,2022
89,2657,2022
90,946,2022
91,255,2022
92,37,2022
93,2,2022
0,971192,2023
1,366696,2023
2,233174,2023
3,327790,2023
4,769385,2023
5,1300374,2023
6,1449815,2023
7,1316542,2023
8,1120774,2023
9,961554,2023
10,839626,2023
11,751520,2023
12,691695,2023
13,651866,2023
14,628221,2023
15,622563,2023
16,633730,2023
17,657768,2023
18,696952,2023
19,747113,2023
20,805186,2023
21,874921,2023
22,971577,2023
23,1099074,2023
24,1277802,2023
25,1480190,2023
26,1655764,2023
27,1770908,2023
28,1821106,2023
29,1820330,2023
30,1779888,2023
31,1715087,2023
32,1628335,2023
33,1519490,2023
34,1396980,2023
35,1280816,2023
36,1178340,2023
37,1074565,2023
38,968024,2023
39,861059,2023
40,767385,2023
41,681671,2023
42,606508,2023
43,539109,2023
44,482276,2023
45,428638,2023
46,383136,2023
47,344173,2023
48,314274,2023
49,292633,2023
50,272398,2023
51,250234,2023
52,229480,2023
53,210565,2023
54,189666,2023
55,171556,2023
56,157042,2023
57,145074,2023
58,136096,2023
59,127073,2023
60,119786,2023
61,113229,2023
62,106985,2023
63,100456,2023
64,95593,2023
65,91246,2023
66,87257,2023
67,84679,2023
68,83088,2023
69,81584,2023
70,81410,2023
71,81743,2023
72,82659,2023
73,83476,2023
74,84814,2023
75,85708,2023
76,87487,2023
77,86654,2023
78,85291,2023
79,82069,2023
80,76261,2023
81,68650,2023
82,59008,2023
83,47813,2023
84,37532,2023
85,27050,2023
86,18349,2023
87,11329,2023
88,6067,2023
89,2783,2023
90,1056,2023
91,246,2023
92,40,2023
93,3,2023
