value,count,year
58,114211,2002
59,107674,2002
60,101460,2002
61,95488,2002
62,89620,2002
63,85492,2002
64,80861,2002
65,76442,2002
66,72713,2002
67,69696,2002
68,67580,2002
69,66265,2002
70,65675,2002
71,64004,2002
72,63374,2002
73,62703,2002
74,61750,2002
75,60567,2002
76,59264,2002
77,56438,2002
78,53262,2002
79,49658,2002
80,45145,2002
81,40327,2002
82,34647,2002
83,28137,2002
84,21608,2002
85,15604,2002
86,10465,2002
87,6192,2002
88,3199,2002
89,1580,2002
90,679,2002
91,179,2002
92,26,2002
93,4,2002
0,953260,2003
1,352292,2003
2,246167,2003
3,384565,2003
4,881603,2003
5,1383053,2003
6,1504154,2003
7,1377900,2003
8,1198297,2003
9,1049400,2003
10,928285,2003
11,839552,2003
12,772678,2003
13,724630,2003
14,696918,2003
15,685298,2003
16,690523,2003
17,711221,2003
18,745648,2003
19,789979,2003
20,846794,2003
21,908856,2003
22,988124,2003
23,1094960,2003
24,1249165,2003
25,1441983,2003
26,1622185,2003
27,1748590,2003
28,1813138,2003
29,1822682,2003
30,1789574,2003
31,1725778,2003
32,1637476,2003
33,1527091,2003
34,1399013,2003
35,1273134,2003
36,1159215,2003
37,1051487,2003
38,937072,2003
39,828784,2003
40,727814,2003
41,643123,2003
42,566612,2003
43,502339,2003
44,445929,2003
45,394379,2003
46,351632,2003
47,315526,2003
48,286236,2003
49,264435,2003
50,244761,2003
51,224122,2003
52,204843,2003
53,186827,2003
54,168690,2003
55,151771,2003
56,137909,2003
57,126867,2003
58,117806,2003
59,110830,2003
60,103466,2003
61,97691,2003
62,91952,2003
63,85891,2003
64,81873,2003
65,77385,2003
66,74111,2003
67,71292,2003
68,68991,2003
69,67717,2003
70,66890,2003
71,65114,2003
72,64984,2003
73,64504,2003
74,63800,2003
75,62193,2003
76,61089,2003
77,58752,2003
78,55904,2003
79,52383,2003
80,47410,2003
81,42295,2003
82,36156,2003
83,29649,2003
84,22824,2003
85,16670,2003
86,11194,2003
87,6746,2003
88,3585,2003
89,1795,2003
90,688,2003
91,178,2003
92,32,2003
93,1,2003
0,942546,2004
1,340634,2004
2,239424,2004
3,391869,2004
4,916021,2004
5,1415674,2004
6,1490144,2004
7,1324936,2004
8,1139826,2004
9,991340,2004
10,879984,2004
11,798061,2004
12,736583,2004
13,693753,2004
14,667368,2004
15,658369,2004
16,665127,2004
17,689056,2004
18,726047,2004
19,774388,2004
20,834113,2004
21,901506,2004
22,985251,2004
23,1101712,2004
24,1273794,2004
25,1483819,2004
26,1671535,2004
27,1796023,2004
28,1852086,2004
29,1849353,2004
30,1809396,2004
31,1741105,2004
32,1648517,2004
33,1531467,2004
34,1401636,2004
35,1276182,2004
36,1163314,2004
37,1052187,2004
38,937115,2004
39,828600,2004
40,730770,2004
